n,instance_idx,seed,due_model,due_range,due_tardiness,memo_mode,memo_cleaning,branch_rule,memo_capacity,best_sum_tardiness,time_ms,nodes,leaves,pruned_by_bound,pruned_by_memo_exact,pruned_by_memo_lb,memo_hits,memo_misses,memo_inserts,memo_updates,memo_evictions,memo_peak_size,memo_final_size,status,error
191,0,191001498,potts,0.6,0.6,solution,lufo,decomposition,14982444,58388,1.9573,844,1,0,0,0,0,0,0,0,0,0,0,ok,
192,0,192001501,potts,0.6,0.6,solution,lufo,decomposition,14982444,49151,1.9341,858,1,0,0,0,0,0,0,0,0,0,0,ok,
193,0,193001504,potts,0.6,0.6,solution,lufo,decomposition,14641933,65009,2.4476,862,1,0,0,0,0,0,0,0,0,0,0,ok,
194,0,194001507,potts,0.6,0.6,solution,lufo,decomposition,14641933,48394,1.9157,874,1,0,0,0,0,0,0,0,0,0,0,ok,
195,0,195001510,potts,0.6,0.6,solution,lufo,decomposition,14641933,57192,1.9791,876,1,0,0,0,0,0,0,0,0,0,0,ok,
196,0,196001513,potts,0.6,0.6,solution,lufo,decomposition,14641933,66390,2.0908,912,1,0,0,0,0,0,0,0,0,0,0,ok,
197,0,197001516,potts,0.6,0.6,solution,lufo,decomposition,14641933,62047,1.9195,882,1,0,0,0,0,0,0,0,0,0,0,ok,
198,0,198001519,potts,0.6,0.6,solution,lufo,decomposition,14641933,66101,1.948,884,1,0,0,0,0,0,0,0,0,0,0,ok,
199,0,199001522,potts,0.6,0.6,solution,lufo,decomposition,14641933,62832,2.4259,912,1,0,0,0,0,0,0,0,0,0,0,ok,
200,0,200001525,potts,0.6,0.6,solution,lufo,decomposition,14641933,61504,2.1261,912,1,0,0,0,0,0,0,0,0,0,0,ok,
500,0,500002425,potts,0.6,0.6,solution,lufo,decomposition,13421772,379077,17.2593,2280,1,0,0,0,0,0,0,0,0,0,0,ok,
501,0,501002428,potts,0.6,0.6,solution,lufo,decomposition,13421772,346578,16.7297,2276,1,0,0,0,0,0,0,0,0,0,0,ok,
502,0,502002431,potts,0.6,0.6,solution,lufo,decomposition,13421772,448865,17.0995,2258,1,0,0,0,0,0,0,0,0,0,0,ok,
