n,instance_idx,seed,due_model,due_range,due_tardiness,memo_mode,memo_cleaning,branch_rule,memo_capacity,best_sum_tardiness,time_ms,nodes,leaves,pruned_by_bound,pruned_by_memo_exact,pruned_by_memo_lb,memo_hits,memo_misses,memo_inserts,memo_updates,memo_evictions,memo_peak_size,memo_final_size,status,error
357,0,357001996,potts,0.6,0.6,solution,lru,decomposition,14005328,183870,7.5482,1606,1,0,0,0,0,0,0,0,0,0,0,ok,
358,0,358001999,potts,0.6,0.6,solution,lru,decomposition,14005328,185910,7.3941,1590,1,0,0,0,0,0,0,0,0,0,0,ok,
359,0,359002002,potts,0.6,0.6,solution,lru,decomposition,14005328,215033,7.7111,1612,1,0,0,0,0,0,0,0,0,0,0,ok,
360,0,360002005,potts,0.6,0.6,solution,lru,decomposition,14005328,217102,7.3576,1582,1,0,0,0,0,0,0,0,0,0,0,ok,
361,0,361002008,potts,0.6,0.6,solution,lru,decomposition,14005328,230480,7.7222,1624,1,0,0,0,0,0,0,0,0,0,0,ok,
362,0,362002011,potts,0.6,0.6,solution,lru,decomposition,14005328,225484,7.7302,1656,1,0,0,0,0,0,0,0,0,0,0,ok,
363,0,363002014,potts,0.6,0.6,solution,lru,decomposition,14005328,193331,8.0393,1660,1,0,0,0,0,0,0,0,0,0,0,ok,
364,0,364002017,potts,0.6,0.6,solution,lru,decomposition,14005328,211964,7.722,1638,1,0,0,0,0,0,0,0,0,0,0,ok,
365,0,365002020,potts,0.6,0.6,solution,lru,decomposition,14005328,227016,7.956,1640,1,0,0,0,0,0,0,0,0,0,0,ok,
366,0,366002023,potts,0.6,0.6,solution,lru,decomposition,14005328,228333,7.8543,1660,1,0,0,0,0,0,0,0,0,0,0,ok,
367,0,367002026,potts,0.6,0.6,solution,lru,decomposition,14005328,221122,7.9649,1644,1,0,0,0,0,0,0,0,0,0,0,ok,
368,0,368002029,potts,0.6,0.6,solution,lru,decomposition,14005328,234444,8.2387,1648,1,0,0,0,0,0,0,0,0,0,0,ok,
369,0,369002032,potts,0.6,0.6,solution,lru,decomposition,14005328,194151,8.1575,1650,1,0,0,0,0,0,0,0,0,0,0,ok,
370,0,370002035,potts,0.6,0.6,solution,lru,decomposition,14005328,209013,8.0762,1632,1,0,0,0,0,0,0,0,0,0,0,ok,
371,0,371002038,potts,0.6,0.6,solution,lru,decomposition,14005328,242689,8.2781,1680,1,0,0,0,0,0,0,0,0,0,0,ok,
372,0,372002041,potts,0.6,0.6,solution,lru,decomposition,14005328,250524,8.2153,1666,1,0,0,0,0,0,0,0,0,0,0,ok,
373,0,373002044,potts,0.6,0.6,solution,lru,decomposition,14005328,202426,8.2422,1706,1,0,0,0,0,0,0,0,0,0,0,ok,
374,0,374002047,potts,0.6,0.6,solution,lru,decomposition,14005328,245402,8.6768,1688,1,0,0,0,0,0,0,0,0,0,0,ok,
375,0,375002050,potts,0.6,0.6,solution,lru,decomposition,14005328,231249,8.5985,1682,1,0,0,0,0,0,0,0,0,0,0,ok,
376,0,376002053,potts,0.6,0.6,solution,lru,decomposition,14005328,229146,8.6321,1690,1,0,0,0,0,0,0,0,0,0,0,ok,
377,0,377002056,potts,0.6,0.6,solution,lru,decomposition,14005328,190642,8.4376,1706,1,0,0,0,0,0,0,0,0,0,0,ok,
378,0,378002059,potts,0.6,0.6,solution,lru,decomposition,14005328,244650,8.8514,1710,1,0,0,0,0,0,0,0,0,0,0,ok,
379,0,379002062,potts,0.6,0.6,solution,lru,decomposition,14005328,244668,9.0688,1736,1,0,0,0,0,0,0,0,0,0,0,ok,
380,0,380002065,potts,0.6,0.6,solution,lru,decomposition,14005328,256095,8.7865,1714,1,0,0,0,0,0,0,0,0,0,0,ok,
381,0,381002068,potts,0.6,0.6,solution,lru,decomposition,14005328,259486,8.6883,1684,1,0,0,0,0,0,0,0,0,0,0,ok,
382,0,382002071,potts,0.6,0.6,solution,lru,decomposition,14005328,234496,9.0657,1750,1,0,0,0,0,0,0,0,0,0,0,ok,
383,0,383002074,potts,0.6,0.6,solution,lru,decomposition,14005328,199305,9.3939,1748,1,0,0,0,0,0,0,0,0,0,0,ok,
384,0,384002077,potts,0.6,0.6,solution,lru,decomposition,14005328,252554,8.9462,1714,1,0,0,0,0,0,0,0,0,0,0,ok,
385,0,385002080,potts,0.6,0.6,solution,lru,decomposition,13707342,209928,8.9743,1754,1,0,0,0,0,0,0,0,0,0,0,ok,
386,0,386002083,potts,0.6,0.6,solution,lru,decomposition,13707342,259567,9.0196,1756,1,0,0,0,0,0,0,0,0,0,0,ok,
387,0,387002086,potts,0.6,0.6,solution,lru,decomposition,13707342,243605,9.0763,1750,1,0,0,0,0,0,0,0,0,0,0,ok,
388,0,388002089,potts,0.6,0.6,solution,lru,decomposition,13707342,265503,9.2531,1756,1,0,0,0,0,0,0,0,0,0,0,ok,
389,0,389002092,potts,0.6,0.6,solution,lru,decomposition,13707342,244604,8.9549,1742,1,0,0,0,0,0,0,0,0,0,0,ok,
